Gene_Human	d0_183	d0_184	d7_192	d7_193
CEBPD	14.01528161	9.917847997	66.27383804	100.4119783
TNFSF10	15.47176092	6.812656814	32.63771166	111.9751322
MLKL	12.02753734	3.062864823	34.9118748	59.2562793
FFAR2	19.42151717	3.985117171	121.9179417	20.91157816
PDK4	3.154831944	8.507583453	45.72691473	36.6299362
PLA2G16	23.36554343	5.457859942	51.79923405	119.4584708
STAT2	56.383182	24.09542522	188.2424714	294.887226
TMEM123	72.10965318	55.84143565	303.0708356	494.7752152
TRIM14	10.38202384	6.283549862	45.19469399	54.12567514
BST2	24.33444735	8.729164745	77.25344547	112.9248556
MOV10	6.429350013	2.578687669	21.13938518	30.9340225
TRIM25	14.44986399	6.897117823	50.2096913	72.87090132
PARP12	5.549293262	4.069666044	23.69747724	30.90313195
FAS	9.745395912	5.095063258	24.60098704	56.65466269
TICAM2	5.87320091	5.150919561	22.55273551	37.55521448
STAT1	76.16779751	44.57283576	272.7335614	368.0358053
HELZ2	8.841373382	3.619186267	30.23921076	34.29685711
IFI16	55.4409406	24.56363692	185.0276613	226.1534065
ALDH3A2	17.81453291	30.2420495	53.29562074	209.1814574
TRIM5	37.00076213	31.75863719	154.8931775	201.3780953
BATF3	9.587760973	2.168255603	23.43946823	32.94955935
CEBPB	37.17443641	25.69997474	110.8563453	202.9490778
CXorf21	7.913196019	7.62222872	37.57919985	40.29778732
CASP4	17.3895008	16.68132706	61.74077513	107.1259263
TNFSF13B	18.46826001	17.41177394	77.42046239	99.99426447
S100P	3.092663197	8.97639599	10.76747472	52.3717377
DOCK4	2.398281525	2.934173023	11.01777527	15.58430251
PHACTR2	12.64311576	9.015700986	42.50270472	60.61954289
TRIM21	6.229470561	3.987771738	23.25497488	23.86971157
IFIT5	105.5203609	54.01760176	366.6510363	355.1135111
DYSF	3.787374527	10.89060781	16.07210646	58.22183615
TNK2	15.52523557	6.721067174	33.94277806	63.69665118
MS4A6A	6.81250984	2.481089896	27.37104816	13.23075479
IFI35	20.22720374	10.7889434	54.91070623	82.53750973
NMI	63.65225169	53.42353679	242.0902157	291.4932592
ZBP1	4.499259394	2.434731544	11.36121582	18.99463049
PTGR1	3.157622319	1.400588006	17.62863759	2.116989001
STN1	29.02541095	9.329940133	52.93601047	106.6704193
ISG20	20.15190812	16.28537052	53.91307072	103.6132103
CMTR1	8.208038759	3.110208031	21.513684	24.86492059
S100A8	222.6845298	388.1098332	853.3129595	1906.154055
NEDD4L	4.609330321	9.194998307	10.78751344	51.95150203
TYMP	31.35316477	25.38522532	115.6530141	126.6354294
HIRA	8.689026302	4.820025608	22.62026519	32.5473309
TRANK1	42.79127858	18.45865622	100.4894799	144.3858692
SAMD9	78.20680879	60.78831937	246.7316625	321.6841139
AHSA1	14.4804781	10.63062122	40.27274199	61.69380023
DNAJA1	70.4914507	34.60701725	142.1653302	271.8329371
ZCCHC2	44.98531275	40.14955671	169.4717083	178.135693
PLAUR	6.577390453	1.968079357	8.5258339	23.32289016
CISH	7.075173094	0.820427745	8.63510444	19.54832362
CHEK2	2.303005288	1.842281821	7.669569982	8.694891975
AIM2	207.3190611	263.4099259	775.335965	1136.663594
MBNL2	4.544757904	8.402788156	21.33280497	32.12334604
PIK3AP1	32.9818308	21.25098803	87.9910478	119.9698046
TICAM1	7.399142631	1.541903744	8.015078815	23.86715484
S100A9	868.1129946	1586.309945	3284.203704	6617.007054
RHBDF2	4.902768159	3.816362867	13.37688702	19.57531781
CNP	10.22499094	4.929773163	22.28099297	33.13395922
SAMHD1	78.89721466	36.05311589	136.2691231	281.1321863
HSPA8	459.6324351	194.4077716	815.949465	1541.366778
ADAR	61.69354282	42.71129661	198.7105965	190.7362231
PARP10	13.55150192	8.461461606	37.23278433	43.92048627
DSCC1	1.662913989	2.410972806	4.325838859	11.42543298
PARP9	30.8375399	6.509714776	60.65239986	67.24733632
PGLYRP1	8.385653012	11.28321962	37.9239938	37.71004116
TDRD7	5.985930294	4.244507489	15.52064336	22.09228719
GNG10	30.22787815	23.80459567	67.62910004	132.1768405
CASP1	34.48364252	27.43252413	91.68995471	137.1918643
CCRL2	16.93601275	22.96624317	72.96640378	77.96694785
TXNIP	298.4008591	207.6634742	798.0050915	1016.429222
CSRNP1	4.685201792	3.398451235	8.305014888	20.60176796
NAPA	31.70043203	18.26830941	72.00829406	103.9539923
SP110	26.64868386	19.50281012	86.64852668	77.90356182
RARRES3	14.09006302	4.260863973	16.48156146	44.75007819
JAK2	58.14724721	35.6381338	104.6110301	219.1376921
DAPP1	17.04907733	13.82816687	35.12330787	73.18274338
DRAM1	4.94857925	10.47005899	22.87142373	34.49513619
ZNF267	27.47484911	19.83158878	51.20197769	111.0648071
KCNJ15	15.09659703	17.59558831	39.75682974	75.98096499
ZFP36	36.76695195	38.83958718	114.4201338	151.6041565
HLA-C	43.47018415	59.44389826	293.7913838	71.29647916
LGALS8	3.485874352	5.683073431	13.69680653	18.95668689
DNAJB1	22.52372549	25.5085592	55.09012787	109.7168216
GP1BB	7.546690098	9.15765644	18.86388652	38.37114833
TMA7	22.05955567	13.52896188	49.3902154	66.52937229
MOB3C	5.794061803	4.148377483	14.90086685	17.77095829
MSRA	5.098670886	12.50040041	29.42813232	32.46994015
TRIM38	25.25613187	21.79494913	61.07754859	93.08923765
KLF5	3.538074132	3.21157914	6.634928603	15.42012551
TAP1	60.07826879	39.90475312	160.4907704	160.1114636
HSPH1	20.35115365	9.257989449	41.16751676	51.29112593
SERPINB1	39.16426367	87.68465636	207.2565896	234.036763
ETV6	20.27769423	6.091817705	34.35454286	45.48101684
FCER1G	14.66758071	19.14899341	40.84649514	71.55965573
TOR1B	8.423013402	5.088037738	15.69634398	26.63935271
UNC93B1	9.798824262	7.381594573	26.1673824	28.50436395
RBM34	4.875161803	5.121109984	16.00957837	16.44748205
LSM2	4.087431923	4.335275028	12.42684259	14.88432974
CD300LF	10.53961711	8.95550366	22.95354034	38.86205799
TRAFD1	45.85236215	25.66523651	82.06945567	138.0168159
PSME2	9.868191117	5.265565303	26.98921148	19.3881259
SP100	65.6980561	56.48684854	163.6367431	215.744328
SAMSN1	32.95457596	25.68532467	74.51197901	106.1802275
TAP2	10.75031356	9.595069438	26.82657752	36.29557846
BASP1	18.97154039	15.8815213	44.58838891	62.77216655
ST3GAL4	32.03398431	20.94999539	69.73709361	89.93261911
ANXA3	49.86777205	53.67193566	129.6820803	189.5251906
SRGAP2	9.991356605	7.499147268	22.96510439	29.25221622
CAMP	54.33916342	110.025451	186.17608	336.9379716
RASGEF1B	2.73093057	3.759107763	5.248960139	14.77957373
CREM	10.85743756	6.528221497	14.99926067	35.73728513
DUSP1	20.95756844	58.67350568	109.4450895	143.6518019
GALNT3	3.336085611	1.304468396	8.876956504	4.147910001
IL18RAP	6.222076232	3.793048325	5.237184222	23.31919694
LACTB	10.20015406	24.05725951	39.24745169	67.91761755
SP140	20.09965841	14.00283327	44.89521245	52.97651277
PCGF6	3.622812667	1.719693606	5.879376029	9.062003006
MDM1	2.665037844	2.469152642	5.733727521	9.218334251
IRF1	151.1573672	134.0303351	324.055985	499.2738944
RIPK2	6.376332702	3.885427922	10.29205673	18.43137658
LONRF3	10.17433302	12.57125436	24.71382587	42.21340054
ACPP	11.92392824	17.9371958	34.55330116	53.58806624
ERO1A	23.33213502	21.99361393	49.04133433	79.90792674
AFF1	54.98564501	42.41767969	98.77330614	173.7245171
TFDP1	2.314354388	2.44912003	5.727165259	7.837032452
ECH1	2.605216568	5.530707688	11.80758395	12.32169349
MCL1	244.4364305	158.7609916	496.08076	610.4491346
TRIM56	11.7592605	7.218709626	24.43607613	27.43177326
HSH2D	23.61788651	28.32456247	74.07131463	74.55142381
ZNF107	10.90520747	5.938540262	15.04315704	30.40710682
CGAS	23.57473337	51.40665495	84.6660285	137.5247668
TRIB1	6.269209407	8.263578911	14.70904112	26.81846416
ECT2	15.13567832	7.501944479	18.58552871	41.52487883
STIM2	10.66300771	7.224459872	16.95794642	31.58788425
SCIMP	24.39572389	8.082559949	48.30408798	36.166907
MAP1LC3A	4.27595761	6.170383738	16.6279186	13.13540392
HLA-B	190.0311121	107.0403602	348.8242686	442.2966177
ALPL	79.19859129	25.37191563	55.12155048	210.9148444
GNB4	15.33122058	10.05162908	31.55871316	36.09550465
H3F3C	121.0591918	113.2738329	324.3663974	313.4026418
NAGK	46.8765558	35.14877352	100.1523812	118.4346411
BAK1	9.534848184	9.59637105	24.29654202	27.67815141
PCGF5	18.70909711	16.16678726	37.51422878	55.92828085
CD300A	19.33887714	33.74282258	60.52467624	88.85687679
CYSTM1	20.41986102	28.47370405	85.84102992	49.20186937
MORF4L2	9.674908932	4.027296307	20.75540376	14.1758087
LMO2	34.06469002	26.21693708	77.42130982	81.35446513
ZC3HAV1	81.88385808	50.19731101	116.4409913	223.2741742
PHF11	39.43355329	44.675889	96.94071335	128.4850288
PSMB8	52.86287028	44.02100272	101.7510935	151.9894013
PATL1	15.04832728	9.26438434	26.67969464	35.61940743
CHD7	6.59275248	6.657508189	9.609940228	25.42631859
PSMB9	102.2855813	65.54263998	202.4410269	227.8725243
HMMR	5.854537642	4.530953314	9.172909051	17.73700639
PTK2B	14.76377821	17.29547112	38.25548985	47.51788391
MKNK1	8.042669285	6.531780924	15.62495879	22.2994463
STIP1	16.87052072	7.410077634	25.27822818	35.25284844
CACYBP	45.98694476	23.1301335	73.94518173	99.72416686
SMCHD1	95.89448374	61.99449975	202.351777	200.9214966
MILR1	14.48493131	22.45189884	34.03022456	65.91735988
PPID	9.082472045	4.043458562	12.0690376	20.56956968
FCAR	46.76634363	64.16367032	126.2823166	171.6627907
IRF9	45.97819003	27.87112553	92.08067894	94.7773493
RNF168	18.6839756	10.73698001	17.73057415	55.98616207
LPCAT2	25.2241202	19.66220238	39.72040332	75.03035363
STX11	13.60849904	19.75736876	25.71654886	62.89694752
KIF11	5.938111993	5.299748043	12.63518087	16.27876233
ZNFX1	36.89462041	31.64885081	74.05515222	101.694568
SLC25A37	56.73528851	38.990308	84.14526254	156.5535025
ANKMY2	8.024980715	7.868201885	19.3415271	21.5862256
MYADM	35.21788712	12.49168398	38.88496944	75.60431307
GK	29.42593006	33.21008304	64.89869674	97.8780788
SLC15A3	4.860580063	3.331658609	12.02812561	8.577565604
MITD1	18.51242055	16.90279579	31.57214906	58.60665325
PSTPIP2	20.67170283	18.81511255	30.85812517	69.62852005
INTS8	18.16688452	18.10340657	47.20683224	45.82297368
BCL2A1	53.98651241	76.72803428	164.5737105	176.8444201
RNF19B	26.82832078	23.51171024	60.23205032	66.80563846
BCL3	5.367593252	4.161116037	9.52324481	14.23294918
SNX10	7.238291705	15.55115621	19.06458253	41.6371785
SLCO4C1	10.01489445	10.2824391	20.66982527	30.81592058
SYF2	12.00212691	13.36969133	28.13601107	36.31998716
KLF4	2.108633998	3.347130708	8.613979776	5.591568988
STK38L	9.34243053	6.066681198	11.32576413	26.07628455
UPP1	6.757114807	5.444877388	12.74007074	17.32436667
TLR4	124.4061025	90.72050995	199.1422716	326.2331867
NDUFB1	77.72602342	146.8985653	315.513546	270.3649383
PAK1	26.78031317	19.8904264	54.10590508	59.00456369
H3F3C	176.1812445	150.465408	380.277462	419.0428836
HLA-B	87.78679296	104.046078	257.798717	220.3132013
CREB5	28.1706488	34.27946423	57.63216369	97.68770321
FAM172A	27.8465182	66.29091612	84.88020883	159.3696144
TRIM26	10.87654391	3.621992966	15.46942774	17.56581871
CD164	37.42002389	41.1617757	82.64180178	110.9116108
PTX3	5.896711003	2.100371643	9.631355876	8.676933054
RAB8A	43.02769238	33.27630002	92.07688177	88.6021374
CHMP5	63.68046947	47.08609283	113.1997964	147.7990381
VCPIP1	19.62376494	16.28225354	32.18325775	52.99229012
GAB1	5.035964354	3.172813816	8.824567572	10.21193885
PI4K2B	22.20578968	14.59922366	36.22413542	48.94552849
POLA2	3.361815847	4.169885512	9.213928072	8.993696686
H3F3B	61.34926398	64.3131466	111.6593285	188.2050371
ARRDC4	7.920767708	4.51586876	14.77154959	13.67881056
HIST1H1B	12.42267195	7.633924463	20.96574373	25.00715348
ACSL1	70.04596929	64.80482997	125.1069728	192.0596106
JMJD6	14.16668713	7.666168364	15.91886469	33.41869369
C1orf162	58.38021971	62.64683144	136.0307214	149.7725148
C21orf91	19.54257765	10.08906073	27.63168869	38.6127315
HLA-B	81.04268016	79.51726732	226.3265307	149.6714903
IL1B	6.259409791	6.040415318	12.53762262	16.05325124
TAGAP	47.46038331	40.86813139	92.88735743	109.8454471
UBC	578.0536031	341.3792698	871.4532623	1177.598271
C19orf38	20.78074085	26.39968235	50.78324516	59.45719626
DCAF10	10.54780028	5.452267054	17.14153166	17.99213313
PRDM1	10.7070563	6.926650052	14.96297577	24.22290775
SLC12A7	4.657204627	2.253357179	5.439598719	9.569257695
CLEC12A	14.86745827	11.69118901	34.26898424	25.4334543
BAZ1A	54.11934879	47.42599081	99.2963209	130.0647899
IRF2	34.19376449	24.65787775	60.30702503	70.71966682
PDE4B	28.95958923	20.97116572	46.58265296	64.44923592
AP5B1	6.076861082	4.086364992	6.923994459	15.45762458
DBF4	6.151715823	5.123186341	7.69146637	17.50054025
TLR5	4.247898001	4.538097879	9.010256281	10.85493405
MOB3A	63.85277735	43.55133245	114.5913777	119.762269
MVD	4.868769221	2.976594395	7.576777881	9.390524046
BLZF1	3.709181801	4.351247903	6.785558766	11.39261809
FGD4	8.064948975	11.63805504	22.55542017	22.69435498
N4BP1	31.6881393	26.13696855	52.43416335	74.83564506
PLEK	27.90918598	21.93254003	47.20415862	62.07025956
XRN1	29.8847138	16.93096222	31.77619327	68.27895447
FBXL5	34.36930941	43.88174709	67.52952727	109.8289936
CSF3R	229.282018	193.6697257	382.7593083	543.0562777
H3F3C	128.5599774	93.82849155	243.3775757	238.4479095
LILRA5	19.62685157	18.91719816	30.72118661	54.10628913
USP25	28.25140906	22.84097317	41.05265682	69.78593238
TREM1	58.58213475	51.56338085	111.8358986	128.1814154
FMR1	27.08423224	19.41991508	42.06147649	57.61912039
IFI30	206.1674149	176.4357303	333.1380567	497.0664309
DMXL2	18.43174392	23.48441762	32.77473002	60.58121779
MFAP1	10.54121393	9.141240343	17.59414897	24.90738682
KLF6	87.95359188	58.32133977	108.925477	200.4444008
SLC25A24	5.101913515	3.843539205	6.837250137	12.13350324
SEMA4D	54.23625981	20.83810066	68.31893198	83.86180542
APOBEC3C	28.5175111	21.56150565	54.33310235	52.0723828
SOD2	452.8833164	430.3711689	679.1671882	1222.749549
TRIM22	167.2849638	165.631839	304.6491361	410.5642492
NEXN	6.303188906	6.18933499	10.92010738	15.82036759
C1GALT1	10.90806486	4.955753861	15.89093314	16.25126149
TLR2	96.10894101	89.65154903	147.1910101	247.1456437
ATP13A3	42.38094708	42.22315471	69.52456977	110.7326956
OXER1	18.82519472	9.577071034	27.23124049	30.5656588
RALB	91.14529591	94.94994013	158.3008652	239.4467995
CLEC4E	14.54095954	9.359415723	33.24268479	16.233921
MPEG1	46.09775419	52.80130249	94.40053945	117.6229282
TMEM173	10.09983926	9.357482425	20.19663923	20.76824055
ITPK1	16.24593669	15.38775422	31.65262193	34.88281304
AQP9	6.345400591	8.917508678	14.81526181	18.09272634
ANKFY1	12.22476688	9.912797553	19.68025648	26.26199957
ZC3H6	7.063354316	5.603785664	9.500463631	16.67347038
MXD1	88.18282546	119.4124742	179.8232256	266.2326045
DDX3X	84.35140727	69.63721555	147.3876323	171.7892544
FGL2	86.87980981	86.15770784	149.0074933	214.2446737
PIM2	24.33078408	14.66574646	29.79361455	49.0175382
RILPL2	19.53189825	24.9937623	40.34617377	54.26108827
CLEC2B	46.73142715	50.45873458	77.17221157	127.222383
SCLT1	13.76955002	15.86501079	25.50042676	37.09243804
MVP	24.98519242	20.82438393	41.28064492	53.261718
TLK2	27.74750596	31.54565657	43.90596366	81.07181902
H3F3A	81.87594635	73.79028153	151.7751647	170.4334874
DIP2B	19.59794454	12.51125299	30.18906444	34.59923132
CCDC117	8.17806582	5.331906924	10.84160756	16.42885555
RSPH3	8.373887803	7.048922152	12.68286098	18.89196253
RSRC2	29.90612357	31.61411322	55.76441746	72.37455121
NCAPG	8.262806175	8.406500653	15.92922337	18.64510673
ARID5A	6.365389522	3.709537097	8.468800342	11.60965107
AKIRIN2	21.57627797	18.18393858	44.50495387	36.92666843
ERAP2	18.8588477	10.82624314	25.25091269	33.61041166
PLD1	3.856045898	3.723739925	6.214665034	9.319000581
GIPC2	5.960536507	5.064317283	15.22930618	7.229870491
RIPK1	14.03562821	10.89498166	19.11184036	30.94730524
CSF2RB	54.44412283	50.36820337	78.80808614	133.5494092
ABHD3	14.45861187	12.13695967	29.00605888	24.5374672
RERE	20.50247604	15.75340685	33.98938147	38.43417922
NUAK2	18.06005419	13.25713306	30.0141048	32.25887221
ROCK2	17.99644044	13.58009593	18.65477952	44.10327122
IRF2BPL	7.446657917	5.193071112	11.34521005	13.63263886
PSMB3	18.36703723	13.82837979	26.55785749	37.23196621
PTEN	59.99450025	55.5560067	99.99073616	132.3033251
CASP7	12.26475663	15.12542496	24.59443014	31.53909274
GRN	32.42665334	51.71674362	81.93583806	93.65156788
APOBR	5.321706821	4.905352146	9.822324344	10.70614454
SIGLEC5	19.16433388	13.69217919	33.22349387	31.47946618
LY96	37.91486131	52.72316028	78.52611002	107.2992101
DNAJB6	24.18803699	17.81454797	39.09303996	42.91097358
NT5C2	75.63387256	80.74176685	158.6561394	154.9989636
TOP2A	17.14126665	10.50531635	22.31580471	30.90163221
GTPBP2	10.32039378	11.78872197	21.30283368	23.11430538
JCHAIN	36.49132584	31.65948793	77.64748048	56.74735039
MEGF9	54.52810765	61.77662613	105.7133135	127.6487656
SBNO2	40.4277802	24.9027678	43.49369162	81.75428126
IL13RA1	29.28426358	26.18052732	45.20207209	63.97827854
TANK	30.5820509	28.66223518	44.8591377	72.01061696
LYN	169.4022815	134.0683576	242.1774022	348.7801028
PHF21A	16.73172582	15.29831995	25.19656241	37.79289756
NUCKS1	13.59901577	7.697676142	13.56649226	26.73402512
LRIF1	22.45586515	13.24579139	31.68762782	36.10934089
TOR1AIP1	35.678726	25.4071614	51.42724424	66.0481242
ACSL4	21.69147211	29.13266155	34.92104878	67.22716177
HLA-C	118.3156624	155.3387997	343.0187779	207.4571122
RAB31	24.2806551	26.87035033	36.15187693	65.07247655
IL1RAP	29.84506986	21.74866815	31.52298957	67.58020507
WARS	24.01366255	30.28056895	50.79110663	57.57945711
PTGES3	42.56504961	26.27968086	56.57664312	73.51447246
H3F3C	163.5824797	115.2960101	250.8716618	280.8706886
SAT1	201.8067124	258.1489622	354.0350608	559.5929725
SHISA5	39.50067047	33.51776275	79.0584286	61.84331811
NUB1	8.588234781	6.200452262	10.78912472	17.3137547
CFLAR	93.84433976	92.31197817	142.5260601	218.6880727
CEP128	7.89539308	3.619612321	10.57599752	10.63708822
UTRN	28.46576868	14.11994282	35.41935113	43.21715798
TENT4B	18.80052621	10.56777921	26.13286534	28.5566845
TSC22D3	143.2760452	124.8533257	219.5954068	294.2099483
LITAF	153.2274039	179.6864014	250.4128095	401.0736617
C3orf58	8.341395055	6.713383127	13.27264381	15.36358138
CLEC4A	23.20580769	17.25084817	49.04843351	27.63322635
KIF13A	14.17833923	16.87023799	29.43528031	31.05777712
JUNB	63.17822937	54.70127929	91.36168979	132.3822289
ELL	17.76636305	16.06234291	26.18029533	38.2143609
MAPK14	25.8566923	25.85838357	43.10486727	56.01243074
PLEKHO1	27.41871415	23.05390212	45.27556094	49.9779202
NLRC5	34.45779581	20.16968925	47.15193673	53.16655787
ARRDC3	55.51342386	45.1341138	67.3313259	121.5752961
UBALD2	28.72044926	24.73881815	39.23116273	61.43736647
MYD88	19.13618259	25.24422619	45.37415708	40.93699829
TTYH3	5.114461333	4.140899837	8.388517873	8.967633567
CEP63	19.23814542	12.45372999	31.70108653	26.81849702
CCDC18	12.10993828	8.87992466	15.88971604	23.05149534
HLX	26.46741918	26.28181548	45.63646364	54.34406811
PRR13	48.8497537	54.28529998	88.91622529	107.6049885
B2M	10840.86225	9522.117759	16571.1574	21487.04767
TNFRSF1A	46.62073475	42.42877472	77.69281707	88.86395685
ATXN7	19.69060164	14.40357506	20.64707787	42.03226643
CST3	26.9153936	27.99281191	40.47957932	62.80559815
BAZ2A	28.39220389	19.59266743	35.95712122	51.66685715
PTPN1	20.68663356	15.20745355	27.61751811	37.81911185
MTF1	7.664201068	6.180453686	12.71233411	12.62854645
PIM1	27.22644852	21.25660399	32.99365607	55.03148207
NCF2	164.0914392	224.0790073	370.7413514	363.500367
NFKBIA	51.55854055	52.11069499	84.86332928	106.8135646
LRRK2	56.75630141	74.7715454	118.0118149	129.9836685
POR	8.816408025	8.989570828	15.36666709	17.43809445
RNF13	26.03950126	23.61026659	38.81287122	51.44303824
CASP12	54.39066014	27.97477129	53.8152537	89.14915106
VASP	110.0833998	108.5466593	184.1554512	213.4705964
RASSF3	78.10743104	81.5973536	133.1746923	157.9469622
RAB5IF	45.91063166	42.38305227	74.88126381	84.41760211
ITGAM	31.9286775	34.38950839	47.60104992	73.29687057
SLA	50.67514875	63.89388628	104.1071139	107.101797
STAT5A	17.10166302	11.25321283	23.33548146	26.51824284
STAT3	55.73577013	37.53564477	67.08561313	96.44770361
RARA	24.82757663	23.80922865	40.40151668	47.12485447
ZYX	96.81719022	75.10910366	155.3424302	147.7873138
ATP6V0C	71.99196824	81.6296502	135.3842095	141.6425367
ANP32B	41.72640821	35.61458162	57.99843068	77.83256519
CCND3	27.96015475	23.89951955	42.10467401	49.00141748
SELPLG	140.2675787	84.88760397	149.6016758	234.2478039
SNX3	90.75319248	73.36121488	134.7585793	150.9122902
GRIPAP1	17.49085761	17.90400585	28.12384993	34.48197126
ELF4	16.41792637	10.46245222	20.11138083	25.8126379
SPTLC2	28.58286253	21.91013373	41.3299417	46.06429604
CNIH4	22.84593165	23.23447859	40.7489019	40.36399673
MEF2A	23.43536716	20.16260275	35.71662235	39.95986891
UBAP2	24.83692746	19.69603769	32.58749176	44.03795435
RICTOR	48.71438962	33.92771869	62.72693125	77.71848722
PAPOLG	16.78578205	13.19530004	19.78026651	31.53599174
SPI1	163.4084039	132.2331487	246.8932004	260.1002389
SQOR	39.22937834	38.74874328	59.22111096	76.31802566
HNRNPH3	25.71386955	20.40839769	33.84311526	44.90089511
ERP29	44.38983431	31.20904858	61.4727782	66.40070014
WAS	39.35290323	29.07129633	54.13972879	61.69621072
RBCK1	21.5202251	12.98326871	27.60391528	29.72058329
LMTK2	25.56514398	24.99733452	36.79047713	50.10983541
SKAP2	53.16359523	44.19918497	75.4251595	90.00088908
FAM111A	25.00827324	26.65393815	42.45192847	45.7102786
EMB	60.53765283	47.5471993	78.1186048	102.0239733
CYTH4	53.12091137	38.90275397	65.19400002	86.57915363
ABCA1	18.60515316	13.89522215	28.33628113	25.34394049
TECPR2	13.08203185	9.683771036	19.34007743	18.17095993
CNN2	65.21800894	54.23136998	92.56822063	105.0762766
APLP2	97.91008695	88.96880478	150.4596278	157.6974666
CALCOCO1	42.52370983	23.64360494	11.77749798	9.643758102
CD84	22.72250389	15.50808366	5.252992502	6.961117205
FEM1B	9.394646512	11.70993134	3.203009518	3.766257693
RPS3A	444.7714923	395.9122283	157.9592415	112.7118866
ACSL6	52.79624518	37.63158383	16.89158009	11.46704189
KATNBL1	36.63138597	38.95550645	9.534704806	14.39558868
AKAP11	15.35919346	7.872851552	3.796175038	3.079747008
ESYT1	46.01557391	18.95911755	8.557851973	9.981625793
TFDP2	994.562783	601.9313172	206.6922246	249.3291709
CPSF1	16.85951768	7.400651176	3.866248112	2.857214426
